bmg_id,missing_days_2017,longest_missing_streak_2017,missing_days_2018,longest_missing_streak_2018
A1956617643,86,43,364,364
A1956623744,0,0,248,248
A2956621093,256,256,153,153
A2956646445,0,0,0,0
A4956611998,0,0,99,99
A4956620237,302,302,364,364
I3956659895,365,365,247,247
a1956619395,315,258,364,364
a1956661244,25,25,0,0
a2956638215,24,24,0,0
A2956615457,0,0,0,0
A2956624999,0,0,0,0
A2956629166,0,0,0,0
A3956614894,251,251,319,319
A4956612213,0,0,333,333
G3956661959,365,365,266,266
a3956617793,0,0,98,98
A1956622503,0,0,101,101
A1956635837,4,4,0,0
A3956620191,4,4,98,98
A3956640990,34,34,114,114
A4956620593,4,4,231,231
A4956622358,6,6,98,98
E3956610255,365,365,266,266
A1956618561,248,248,0,0
A2956624378,91,91,56,56
E4956661936,365,365,266,266
a2956620259,269,269,364,364
A1956630960,0,0,309,309
A4956640460,0,0,98,98
E3956638843,365,365,265,265
A1956614950,3,3,286,286
A2956619768,0,0,0,0
A2956620399,0,0,8,8
A3956650867,0,0,98,98
I3956612948,365,365,266,266
I3956638259,365,365,268,268
I3956641826,365,365,275,275
a1956661820,36,36,0,0
a4956660256,257,257,364,364
A1956616064,0,0,0,0
A3956641826,0,0,303,303
A4956637374,134,134,364,364
A4956639132,0,0,98,98
E4956610881,365,365,266,266
G4956610746,365,365,279,266
A1956618084,0,0,24,24
A2956646260,0,0,62,62
A2956661293,0,0,0,0
A3956614400,19,19,108,108
A4956636137,0,0,98,98
A2956625903,0,0,0,0
A3956616714,0,0,98,98
A4956663192,0,0,149,149
G3956640188,365,365,266,266
I3956651618,365,365,261,261
A2956635856,6,6,39,39
A2956662700,24,24,109,109
A3956638259,264,264,252,252
A4956625341,0,0,351,351
I3956617793,365,365,300,266
a2956632979,365,365,157,157
A1956613764,365,365,274,271
A1956640249,0,0,0,0
A2956614274,0,0,62,62
A3956661199,196,196,98,98
A4956616975,0,0,98,98
A4956628342,300,300,364,364
A4956635360,365,365,294,150
E4956622859,365,365,275,275
G4956645687,365,365,226,226
A4956628387,0,0,204,204
E4956626883,365,365,266,266
a2956659954,0,0,0,0
A1956619114,19,19,266,266
A1956632034,191,191,364,364
A2956617849,12,12,23,23
E4956619689,365,365,275,275
G4956647053,365,365,266,266
