BMG_ID,Occupancy,Household Ownership,Landlord Type,Green Energy,Eco Type,Gas Supply,Smart Meter,Meter Reading Frequency,Primary Heating,EV,Property Type,Number of bedrooms,Main Heating System,Water Heating System,Appliances,Number of Appliances
956610255,2.0,Mortgage,Unknown,No,No,Mains,No,Electricity bills,Gas boiler,No,Semi detached,3.0,Single house thermostat,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, Games console, PC/laptop, Cooling fans, Plug in electric heater, Vacuum cleaner, Bath, Power shower, Hair drier",18
956611829,1.0,Mortgage,Unknown,No,Unsure,Mains,Unknown,Regularly,Gas boiler,No,Semi detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Fridge-freezer, Fridge, Toaster, Kettle, Microwave, Games console, Bath, Power shower",14
956612115,2.0,Mortgage,Unknown,No,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,4.0,"Programmer/timer, Thermostatic radiator valves","Gas, oil or solid fuel","Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Fridge-freezer, Toaster, Kettle, Microwave, Handheld devices, Plug in electric heater, Vacuum cleaner, Bath, Power shower, Hair drier",16
956613764,2.0,Rent,Private landlord,Unknown,No,Mains,No,Regularly,Gas boiler,No,Semi detached,3.0,Single house thermostat,Gas or oil direct heating,"Standalone washing machine, Electric oven, Gas hob, Gas oven, Fridge-freezer, Standalone freezer, Kettle, Microwave, TV with a screen more than 21 inches, Dehumidifier, Vacuum cleaner, Bath, Shower, Hair drier",14
956614943,1.0,Other,Unknown,No,No,Mains,Both,When billed,Gas boiler,No,Terraced,4.0,Thermostatic radiator valves,Gas or oil direct heating,"Standalone washing machine, Gas hob, Gas oven, Fridge-freezer, Kettle, Microwave, TV with a screen more than 21 inches, Games console, PC/laptop, Handheld devices, Cooling fans, Humidifier, Vacuum cleaner, Bath, Shower",15
956615157,2.0,Mortgage,Unknown,No,Unsure,LPG,No,Regularly,Gas boiler,No,Terraced,3.0,Thermostatic radiator valves,Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Handheld devices, Cooling fans, Vacuum cleaner, Bath, Shower, Hair drier",19
956619551,2.0,Mortgage,Unknown,No,No,Mains,Smart electricity meter,Asked to by provider,Gas boiler,No,Semi detached,3.0,Programmer/timer,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Vacuum cleaner, Bath, Shower, Hair drier",17
956625077,1.0,Mortgage,Unknown,Unknown,Unknown,Mains,Smart gas meter,Unknown,Gas boiler,No,Refused,3.0,Single house thermostat,Refused,"Standalone washing machine, Electric oven, Gas oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Shower",13
956631509,2.0,Own,Unknown,No,No,Mains,No,Regularly,Gas boiler,No,Detached,4.0,Single house thermostat,Electric immersion heater,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Dehumidifier, Vacuum cleaner, Bath, Power shower, Hair drier",18
956636367,1.0,Rent,Council,Yes,Economy 7,Mains,Smart electricity meter,Regularly,Other electricity,No,Refused,2.0,Programmer/timer,Gas or oil direct heating,"Standalone washing machine, Dishwasher, Gas oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, Plug in electric heater, Vacuum cleaner, Bath",11
956641054,1.0,Mortgage,Unknown,Yes,Economy 7,Mains,Smart electricity meter,When billed,Electric Heater,No,Refused,4.0,Programmer/timer,Unknown,"Standalone washing machine, Electric oven, Gas oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Vacuum cleaner, Bath, Shower, Hair drier",15
956648298,2.0,Rent,Housing association,No,No,Mains,No,Do not read,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Single house thermostat",Electric immersion heater,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Vacuum cleaner, Bath, Power shower",14
956600240,2.0,Mortgage,Unknown,No,No,No,No,When billed,Oil,No,Detached,6.0,"Programmer/timer, Single house thermostat",Electric immersion heater,"Standalone tumble dryer, Dishwasher, Electric hob, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Games console",10
956610266,2.0,Rent,Council,Unknown,Economy 7,Mains,Unknown,When billed,Gas boiler,No,Semi detached,3.0,Programmer/timer,Gas or oil direct heating,"Standalone washing machine, Dishwasher, Gas hob, Gas oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Power shower",17
956610365,2.0,Rent,Housing association,Unknown,Unknown,Mains,No,Electricity bills,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Single house thermostat",Electric immersion heater,"Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Microwave, PC/laptop, Handheld devices, Bath, Power shower",10
956610383,2.0,Mortgage,Unknown,Unknown,No,Mains,Both,Regularly,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Room thermostats, Thermostatic radiator valves",Gas or oil direct heating,"Standalone washing machine, Dishwasher, Electric hob, Electric oven, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Handheld devices, Power shower, Hair drier",12
956610646,2.0,Rent,Council,No,No,Mains,No,Regularly,Gas boiler,No,Terraced,4.0,"Programmer/timer, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Cooling fans, Bath, Power shower",16
956610724,2.0,Mortgage,Unknown,Unknown,Unknown,Mains,No,Asked to by provider,Gas boiler,No,Detached,3.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Electric immersion heater,"Coffee-maker, Combined washing machine and tumble dryer, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Dehumidifier, Plug in electric heater, Vacuum cleaner, Bath, Shower, Hair drier",18
956610746,1.0,Rent,Council,Yes,No,Mains,Both,Regularly,Gas boiler,No,Terraced,4.0,"Programmer/timer, Single house thermostat",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Toaster, Kettle, TV with a screen less than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Bath, Power shower",12
956610753,2.0,Rent,Council,No,No,Mains,Smart electricity meter,Regularly,Gas boiler,No,Terraced,3.0,"Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Electric oven, Gas hob, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Vacuum cleaner, Bath, Hair drier",13
956610843,2.0,Mortgage,Unknown,Yes,Unknown,Mains,Unknown,Asked to by provider,Gas boiler,No,Semi detached,3.0,Programmer/timer,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, Handheld devices, Vacuum cleaner, Bath, Power shower, Hair drier",16
956610881,2.0,Mortgage,Unknown,Unknown,Unknown,Mains,Smart gas meter,Regularly,Gas boiler,No,Detached,2.0,Thermostatic radiator valves,Gas or oil direct heating,"Combined washing machine and tumble dryer, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Games console, PC/laptop, Handheld devices, Cooling fans, Plug in electric heater, Vacuum cleaner, Bath, Shower, Hair drier",18
956610888,1.0,Mortgage,Unknown,No,No,Mains,Smart electricity meter,Regularly,Gas boiler,No,Terraced,2.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Gas hob, Gas oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Humidifier, Vacuum cleaner, Bath, Shower",17
956610897,2.0,Own,Unknown,No,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,8.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Games console, PC/laptop, Vacuum cleaner, Bath",14
956610900,2.0,Own,Unknown,No,No,Mains,No,Electricity bills,Open fire,No,Semi detached,3.0,None,Other,"Combined washing machine and tumble dryer, Dishwasher, Electric oven, Gas hob, Fridge, Standalone freezer, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Cooling fans, Humidifier, Dehumidifier, Vacuum cleaner, Bath, Shower, Electric blanket, Hair drier",19
956610992,2.0,Own,Unknown,No,No,Mains,No,When billed,Gas boiler,No,Semi detached,4.0,"Programmer/timer, Thermostatic radiator valves",Gas or oil direct heating,"Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Standalone freezer, Kettle, Microwave, Games console, Vacuum cleaner, Bath, Shower, Hair drier",12
956611043,1.0,Rent,Private landlord,Unknown,Unknown,Mains,Smart electricity meter,Do not read,Gas boiler,No,Semi detached,5.0,Programmer/timer,"Gas, oil or solid fuel","Standalone tumble dryer, Standalone washing machine, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Games console, Vacuum cleaner, Bath, Hair drier",13
956611082,2.0,Mortgage,Council,No,No,Mains,Smart gas meter,Asked to by provider,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Standalone washing machine, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, Games console, Mobile phones, PC/laptop, Handheld devices, Air conditioning unit, Vacuum cleaner, Bath, Power shower",15
