,weekly,monthly,quarterly,yearly,mape,rmse
0,1,1,1,1,0.8431630578751009,0.9182391071366439
1,1,1,1,3,0.7837394659326038,0.8852906110044338
2,1,1,1,5,0.7751722209565547,0.8804386525798119
3,1,1,1,7,0.7193588594825141,0.8481502576091775
4,1,1,1,10,0.7602816829791149,0.8719413300097174
5,1,1,3,1,0.8065520721448678,0.8980824417306397
6,1,1,3,3,0.7578071381393848,0.8705211876453007
7,1,1,3,5,0.7519097295699583,0.8671272856795352
8,1,1,3,7,0.7204417368153266,0.8487883934263749
9,1,1,3,10,0.748290234197313,0.865037706806653
10,1,1,5,1,0.8400801588899852,0.9165588682075938
11,1,1,5,3,0.7927249521775067,0.8903510275040439
12,1,1,5,5,0.7841951252270569,0.8855479237325651
13,1,1,5,7,0.7428362517854162,0.8618794879711527
14,1,1,5,10,0.7813030675721542,0.883913495525526
15,1,1,7,1,0.8551368946652549,0.9247361216397113
16,1,1,7,3,0.7959534690942248,0.8921622437058323
17,1,1,7,5,0.7891697317899354,0.8883522565907824
18,1,1,7,7,0.7482743077878323,0.8650285011419174
19,1,1,7,10,0.7837154514348249,0.8852770478414229
20,1,1,10,1,0.8574903792188125,0.9260077641244767
21,1,1,10,3,0.7921994134512472,0.8900558485012315
22,1,1,10,5,0.7857265202441878,0.8864121616066579
23,1,1,10,7,0.7449448980697854,0.8631019048002301
24,1,1,10,10,0.7818383561000223,0.8842162383150528
25,1,3,1,1,0.8572935378519526,0.9259014730801288
26,1,3,1,3,0.8015634210763166,0.8953007433685715
27,1,3,1,5,0.7925897404033739,0.8902750925435204
28,1,3,1,7,0.7377940126253566,0.8589493655771314
29,1,3,1,10,0.7804152582928868,0.8834111490653074
30,1,3,3,1,0.8227645631675601,0.9070637040294138
31,1,3,3,3,0.7761617673654705,0.8810004355081049
32,1,3,3,5,0.7692230905992191,0.8770536418026089
33,1,3,3,7,0.7322919285200237,0.8557405731411966
34,1,3,3,10,0.7650361690257367,0.8746634604382058
35,1,3,5,1,0.8684209623287208,0.9318910678446922
36,1,3,5,3,0.808743198441425,0.8993015058596449
37,1,3,5,5,0.800849809433558,0.8949021228232493
38,1,3,5,7,0.7629428840256708,0.8734660176707911
39,1,3,5,10,0.7972611210736982,0.8928947984357946
40,1,3,7,1,0.8382226596732536,0.9155450069074996
41,1,3,7,3,0.7924647142425284,0.890204872061779
42,1,3,7,5,0.7852831833392006,0.886162052527189
43,1,3,7,7,0.756576017968284,0.8698137835009767
44,1,3,7,10,0.7827204091976937,0.8847148745204263
45,1,3,10,1,0.8299215347356477,0.9110002934882335
46,1,3,10,3,0.7724387526414446,0.8788849484667743
47,1,3,10,5,0.7625210469775927,0.8732245112097992
48,1,3,10,7,0.7291723423232619,0.8539158871477107
49,1,3,10,10,0.7602017228976702,0.8718954770485222
50,1,5,1,1,0.8418053702235552,0.9174995205576705
51,1,5,1,3,0.7920791565241515,0.889988290105073
52,1,5,1,5,0.7837422733963887,0.88529219662007
53,1,5,1,7,0.7292172261280248,0.8539421679060151
54,1,5,1,10,0.7678702579903601,0.8762820653136524
