,weekly,monthly,quarterly,yearly,mape
0,1,1,1,1,8.264230186524506
1,1,1,1,2,8.007362734888039
2,1,1,1,3,8.356800178613788
3,1,1,1,4,8.410930696433462
4,1,1,1,5,7.877982140207023
5,1,1,1,6,7.641300430550819
6,1,1,1,7,7.957211778308146
7,1,1,1,8,7.805688796497895
8,1,1,1,9,7.870690613505989
9,1,1,1,10,7.939458540717153
10,1,1,2,1,8.613171371510639
11,1,1,2,2,8.111075148582447
12,1,1,2,3,8.509661829763385
13,1,1,2,4,8.446100578270602
14,1,1,2,5,7.991788699825714
15,1,1,2,6,8.000027467019425
16,1,1,2,7,7.711755173660367
17,1,1,2,8,7.7650135805958405
18,1,1,2,9,7.8376799312308805
19,1,1,2,10,7.934874170828517
20,1,1,3,1,8.716642446909951
21,1,1,3,2,8.39425913332251
22,1,1,3,3,8.585803987465043
23,1,1,3,4,8.697360610626527
24,1,1,3,5,8.232966958142937
25,1,1,3,6,8.005856146023625
26,1,1,3,7,7.995767603022162
27,1,1,3,8,7.909460309946332
28,1,1,3,9,8.003751203334975
29,1,1,3,10,7.929657608930782
30,1,1,4,1,8.771790130296678
31,1,1,4,2,8.275646986373246
32,1,1,4,3,8.583312265398492
33,1,1,4,4,8.641215537070742
34,1,1,4,5,8.139162709754148
35,1,1,4,6,7.8657867010452
36,1,1,4,7,7.761379270070896
37,1,1,4,8,7.880700290520527
38,1,1,4,9,8.13335583926978
39,1,1,4,10,7.966265423338434
40,1,1,5,1,8.672205210303591
41,1,1,5,2,8.20485914893212
42,1,1,5,3,8.55925790261762
43,1,1,5,4,8.592532024631074
44,1,1,5,5,8.072793976521535
45,1,1,5,6,7.791549238544589
46,1,1,5,7,7.94841645373546
47,1,1,5,8,7.6689769400696255
48,1,1,5,9,7.972970081473043
49,1,1,5,10,7.978802902680744
50,1,1,6,1,8.764928887939847
51,1,1,6,2,8.337441375551164
52,1,1,6,3,8.680300715614445
53,1,1,6,4,8.615440511185366
54,1,1,6,5,8.190518282833754
55,1,1,6,6,7.838324524499344
56,1,1,6,7,7.827733927044664
57,1,1,6,8,7.9216509116020495
58,1,1,6,9,8.140708168938183
59,1,1,6,10,7.826720475698085
60,1,1,7,1,8.701220434066489
61,1,1,7,2,8.374909840114476
62,1,1,7,3,8.701825124568527
63,1,1,7,4,8.555674903743672
64,1,1,7,5,8.07101419476879
65,1,1,7,6,7.896105468736193
66,1,1,7,7,7.761761551082335
67,1,1,7,8,7.693593730525764
68,1,1,7,9,7.982971953639055
69,1,1,7,10,8.019655359757623
70,1,1,8,1,8.843530762021881
71,1,1,8,2,8.458132538506867
72,1,1,8,3,8.60434748349445
73,1,1,8,4,8.625189237794123
74,1,1,8,5,8.149659487181504
75,1,1,8,6,7.774468450939581
76,1,1,8,7,7.739722066558129
77,1,1,8,8,7.7045798164117585
78,1,1,8,9,7.947990824564526
79,1,1,8,10,7.891117114853282
80,1,1,9,1,8.77665960008939
81,1,1,9,2,8.42050718446333
82,1,1,9,3,8.74155889735862
83,1,1,9,4,8.592983597692085
84,1,1,9,5,8.298622072285713
85,1,1,9,6,7.890434088094523
86,1,1,9,7,7.763445567922479
87,1,1,9,8,7.753277689250098
88,1,1,9,9,7.904583122216865
89,1,1,9,10,7.962765079627625
90,1,1,10,1,8.786270631125898
91,1,1,10,2,8.363529858336062
92,1,1,10,3,8.655296335463072
93,1,1,10,4,8.636228886273353
94,1,1,10,5,8.182807344320073
95,1,1,10,6,7.795226507311996
96,1,1,10,7,7.742037803911567
97,1,1,10,8,7.840251393970939
98,1,1,10,9,8.208344083360974
99,1,1,10,10,7.896059699119258
100,1,2,1,1,8.350844690189247
101,1,2,1,2,8.070813061374109
102,1,2,1,3,8.328082698382048
103,1,2,1,4,8.370504244108526
104,1,2,1,5,7.836254786318278
105,1,2,1,6,7.674240579500394
106,1,2,1,7,7.852429497023201
107,1,2,1,8,7.8220234151149475
108,1,2,1,9,7.932264266691588
109,1,2,1,10,7.843075029744808
110,1,2,2,1,8.491578335542654
111,1,2,2,2,8.164165584376201
112,1,2,2,3,8.522859160484936
113,1,2,2,4,8.494919471754919
114,1,2,2,5,8.04757625640151
115,1,2,2,6,7.802806561571702
116,1,2,2,7,7.815484583721259
117,1,2,2,8,7.634636791626794
118,1,2,2,9,7.905768306028439
119,1,2,2,10,7.875166199312182
120,1,2,3,1,8.672652691412399
121,1,2,3,2,8.4765022765216
122,1,2,3,3,8.663019981483277
123,1,2,3,4,8.690213061508958
124,1,2,3,5,8.125032795645735
125,1,2,3,6,7.902590201081994
126,1,2,3,7,7.8257437482270324
127,1,2,3,8,8.014946917804059
128,1,2,3,9,8.037069256918805
129,1,2,3,10,7.868822457657788
130,1,2,4,1,8.782809901944583
131,1,2,4,2,8.470296818798985
132,1,2,4,3,8.783377665099328
133,1,2,4,4,8.71085742745638
134,1,2,4,5,8.163635774148174
135,1,2,4,6,7.889867250574274
136,1,2,4,7,7.984363487502366
137,1,2,4,8,7.999171022397724
138,1,2,4,9,8.162380154574675
139,1,2,4,10,7.910977149575419
140,1,2,5,1,8.942424575511705
141,1,2,5,2,8.416363265361591
142,1,2,5,3,8.65051412442957
143,1,2,5,4,8.616835746238333
144,1,2,5,5,7.976582053155847
145,1,2,5,6,7.994655903792647
146,1,2,5,7,7.813357413374878
147,1,2,5,8,7.701794048816651
148,1,2,5,9,7.908106709374456
149,1,2,5,10,7.932548019955815
150,1,2,6,1,8.722685759963102
151,1,2,6,2,8.362561406043334
152,1,2,6,3,8.793021873843232
153,1,2,6,4,8.685616828744418
154,1,2,6,5,8.038160742290247
155,1,2,6,6,7.853227427041911
156,1,2,6,7,7.679688378733004
157,1,2,6,8,7.783103421951476
158,1,2,6,9,8.082474981998143
159,1,2,6,10,7.959897399896499
160,1,2,7,1,8.604993794589667
161,1,2,7,2,8.252446548079146
162,1,2,7,3,8.632391954911704
163,1,2,7,4,8.697490670892313
164,1,2,7,5,8.086895396313567
165,1,2,7,6,7.789802567869891
166,1,2,7,7,7.831591811240071
167,1,2,7,8,7.808295924561342
168,1,2,7,9,8.016918426769555
169,1,2,7,10,7.896149344304551
170,1,2,8,1,8.712411368846745
171,1,2,8,2,8.404586225496974
172,1,2,8,3,8.76225010293846
173,1,2,8,4,8.639313556251007
174,1,2,8,5,8.243863793630396
175,1,2,8,6,8.102647330458474
176,1,2,8,7,7.78728833540484
177,1,2,8,8,7.7541923882410275
178,1,2,8,9,7.963100513570661
179,1,2,8,10,8.16203542318222
180,1,2,9,1,8.94195132201035
181,1,2,9,2,8.2501899114495
182,1,2,9,3,8.621617355671884
183,1,2,9,4,8.723723085671026
184,1,2,9,5,8.122150719296725
185,1,2,9,6,7.898622305221506
186,1,2,9,7,7.69976163511333
187,1,2,9,8,7.757544363766159
188,1,2,9,9,8.164892619151356
189,1,2,9,10,8.001649523872768
190,1,2,10,1,8.722876146528572
191,1,2,10,2,8.439561710715967
192,1,2,10,3,8.65919748475986
193,1,2,10,4,8.615722001875673
194,1,2,10,5,8.244257719212145
195,1,2,10,6,8.062419133272996
196,1,2,10,7,7.8765571066915445
197,1,2,10,8,7.776412784573928
198,1,2,10,9,7.9429992783627235
199,1,2,10,10,8.201040112464867
200,1,3,1,1,8.338926573909578
201,1,3,1,2,7.882003100718063
202,1,3,1,3,8.3678612162069
203,1,3,1,4,8.428227373311207
204,1,3,1,5,7.963603729429752
205,1,3,1,6,7.689324311308308
206,1,3,1,7,7.763213794393787
207,1,3,1,8,7.709952271675274
208,1,3,1,9,7.95432558763948
209,1,3,1,10,8.01449326549532
210,1,3,2,1,8.492854631345754
211,1,3,2,2,8.181826643256018
212,1,3,2,3,8.433327667801152
213,1,3,2,4,8.626433223233159
214,1,3,2,5,7.967567492224502
215,1,3,2,6,7.754118589347728
216,1,3,2,7,7.752764557011874
217,1,3,2,8,7.686177170284377
218,1,3,2,9,7.918316902605034
219,1,3,2,10,7.937563091792719
220,1,3,3,1,8.802672245046976
221,1,3,3,2,8.349163914171676
222,1,3,3,3,8.637833284956628
223,1,3,3,4,8.77835813645394
224,1,3,3,5,8.10428210470968
225,1,3,3,6,8.00006605887833
226,1,3,3,7,7.748326488146136
227,1,3,3,8,7.880464954311372
228,1,3,3,9,7.873136891073375
229,1,3,3,10,7.971061741272401
230,1,3,4,1,8.758320867193438
231,1,3,4,2,8.374851468916683
232,1,3,4,3,8.644396484318762
233,1,3,4,4,8.684933337966921
234,1,3,4,5,8.219261211997232
235,1,3,4,6,8.03346674181859
236,1,3,4,7,8.022976390155899
237,1,3,4,8,7.759571975183773
238,1,3,4,9,7.974357884501881
239,1,3,4,10,8.052499602995608
240,1,3,5,1,8.688970425637896
241,1,3,5,2,8.36710818733666
242,1,3,5,3,8.556369627628065
243,1,3,5,4,8.660301658798296
244,1,3,5,5,8.122605296697397
245,1,3,5,6,8.022263595512868
246,1,3,5,7,7.746321145665935
247,1,3,5,8,7.6834194765298856
248,1,3,5,9,7.978505479055509
249,1,3,5,10,8.006290648544537
250,1,3,6,1,8.583095671342404
251,1,3,6,2,8.269738837721524
252,1,3,6,3,8.601549809204979
253,1,3,6,4,8.598660076687663
254,1,3,6,5,8.052028471853644
255,1,3,6,6,7.8180842801652055
256,1,3,6,7,7.825121427277539
257,1,3,6,8,7.895906480408178
258,1,3,6,9,7.9350791955243825
259,1,3,6,10,7.949082996605271
260,1,3,7,1,8.65009153255382
261,1,3,7,2,8.254171569205278
262,1,3,7,3,8.645107778499623
263,1,3,7,4,8.66515089615239
264,1,3,7,5,8.025545079364841
265,1,3,7,6,8.032735753671131
266,1,3,7,7,7.866001795263456
267,1,3,7,8,7.8763603073917245
268,1,3,7,9,8.087985246681832
269,1,3,7,10,7.892790412972689
270,1,3,8,1,8.842516604560346
271,1,3,8,2,8.336482254426034
272,1,3,8,3,8.613155476501083
273,1,3,8,4,8.786688882959748
274,1,3,8,5,8.108380713929114
275,1,3,8,6,7.862762261406552
276,1,3,8,7,7.853709172219728
277,1,3,8,8,7.888803483896626
278,1,3,8,9,8.192965192279202
279,1,3,8,10,7.899680753167389
280,1,3,9,1,8.64553189785074
281,1,3,9,2,8.411015287298333
282,1,3,9,3,8.839313780623378
283,1,3,9,4,8.720711625904684
284,1,3,9,5,8.159144206316139
285,1,3,9,6,8.11098187497104
286,1,3,9,7,7.865881971812372
287,1,3,9,8,7.947239894970432
288,1,3,9,9,8.068907759955554
289,1,3,9,10,7.998139868716929
290,1,3,10,1,8.771251464199322
291,1,3,10,2,8.351924898369854
292,1,3,10,3,8.619298191076366
293,1,3,10,4,8.809396702114263
294,1,3,10,5,8.181360456897389
295,1,3,10,6,7.924142386771961
296,1,3,10,7,7.980477386255065
297,1,3,10,8,8.024876828613099
298,1,3,10,9,8.238007830993547
299,1,3,10,10,8.050622280397137
300,1,4,1,1,8.374108848695615
301,1,4,1,2,7.916154455256151
302,1,4,1,3,8.461956696049063
303,1,4,1,4,8.44764920071465
304,1,4,1,5,8.061785990723228
305,1,4,1,6,7.686140996572844
306,1,4,1,7,7.774558829467616
307,1,4,1,8,7.66035362890518
308,1,4,1,9,7.863206985772642
309,1,4,1,10,7.868355131763993
310,1,4,2,1,8.541366582874984
311,1,4,2,2,8.265661822471584
312,1,4,2,3,8.480243467937106
313,1,4,2,4,8.524419999080889
314,1,4,2,5,8.064320922114618
315,1,4,2,6,8.05547381735536
316,1,4,2,7,7.648740274635496
317,1,4,2,8,7.807919753065863
318,1,4,2,9,7.978727861411982
319,1,4,2,10,7.894522727685435
320,1,4,3,1,8.970023951989463
321,1,4,3,2,8.450554082408217
322,1,4,3,3,8.768283707464457
323,1,4,3,4,8.647166642146852
324,1,4,3,5,8.247984996975434
325,1,4,3,6,7.994551230522441
326,1,4,3,7,7.833311647424516
327,1,4,3,8,7.8391845893721195
328,1,4,3,9,7.995269972613306
329,1,4,3,10,8.145930655033077
330,1,4,4,1,8.76576343067368
331,1,4,4,2,8.615866043585061
332,1,4,4,3,8.710907685796297
333,1,4,4,4,8.620316685482589
334,1,4,4,5,8.239620340971827
335,1,4,4,6,7.872721045232932
336,1,4,4,7,7.84605583298526
337,1,4,4,8,7.770814860188724
338,1,4,4,9,8.143000425864331
339,1,4,4,10,8.103288681265807
340,1,4,5,1,8.742881082361398
341,1,4,5,2,8.443588487016186
342,1,4,5,3,8.758985566644045
343,1,4,5,4,8.803634327856038
344,1,4,5,5,8.27244553846227
345,1,4,5,6,8.018559542020135
346,1,4,5,7,7.727533784643584
347,1,4,5,8,7.788727833529446
348,1,4,5,9,8.22529546008294
349,1,4,5,10,8.202377682508967
350,1,4,6,1,8.630907652615177
351,1,4,6,2,8.3039618776144
352,1,4,6,3,8.545763837076175
353,1,4,6,4,8.62937529060381
354,1,4,6,5,8.240602192930714
355,1,4,6,6,8.019705477209415
356,1,4,6,7,7.835391681354882
357,1,4,6,8,7.846004505621835
358,1,4,6,9,7.961567681893396
359,1,4,6,10,8.12275861573338
360,1,4,7,1,8.747132006795288
361,1,4,7,2,8.353310659513912
362,1,4,7,3,8.72551866995932
363,1,4,7,4,8.633365712776714
364,1,4,7,5,8.130425552360755
365,1,4,7,6,8.023343475304488
366,1,4,7,7,7.757638277781541
367,1,4,7,8,7.901343096113661
