,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape,rmse
0,0.01,0.01,0.8,0.0735481941330922,0.9391403027378474
1,0.01,0.01,0.8375,0.07276000017849851,0.9260899769063281
2,0.01,0.01,0.875,0.07335170663392282,0.9351789546545642
3,0.01,0.01,0.9125,0.07340705425927571,0.9323235522149607
4,0.01,0.01,0.95,0.07373955241690704,0.9357056831738789
5,0.01,0.05623413251903491,0.8,0.07029458760374341,0.9357261134511747
6,0.01,0.05623413251903491,0.8375,0.07177785044602009,0.958582676555596
7,0.01,0.05623413251903491,0.875,0.072654228298834,0.9801208231132046
8,0.01,0.05623413251903491,0.9125,0.0707414031577747,0.9440552301788562
9,0.01,0.05623413251903491,0.95,0.07010067616255987,0.9321358940154276
10,0.01,0.31622776601683794,0.8,0.07277877581061251,0.9836348950821365
11,0.01,0.31622776601683794,0.8375,0.07048747863633875,0.9430648801328856
12,0.01,0.31622776601683794,0.875,0.07003415396973596,0.9344667458726766
13,0.01,0.31622776601683794,0.9125,0.07261390836800068,0.9775601599420762
14,0.01,0.31622776601683794,0.95,0.07311984954712197,0.987103520730399
15,0.01,1.7782794100389228,0.8,0.07250272644771003,0.977932218955145
16,0.01,1.7782794100389228,0.8375,0.06997877075578897,0.9338192910417156
17,0.01,1.7782794100389228,0.875,0.07096795684937154,0.949531672756887
18,0.01,1.7782794100389228,0.9125,0.07170077349701504,0.9596927909544436
19,0.01,1.7782794100389228,0.95,0.071620929166959,0.9553797493981537
20,0.01,10.0,0.8,0.0733150195929658,0.9908818858578903
21,0.01,10.0,0.8375,0.07133106402956692,0.9572993839210958
22,0.01,10.0,0.875,0.07072423174757696,0.9450399297331521
23,0.01,10.0,0.9125,0.07131607215592466,0.9516509024548272
24,0.01,10.0,0.95,0.0715577738944379,0.9589382175597013
25,0.026591479484724942,0.01,0.8,0.0866633192992765,1.1358718423222647
26,0.026591479484724942,0.01,0.8375,0.08596711769808006,1.1310835548603893
27,0.026591479484724942,0.01,0.875,0.08533455773464221,1.129351556019634
28,0.026591479484724942,0.01,0.9125,0.08453703650014824,1.1129708407497674
29,0.026591479484724942,0.01,0.95,0.08715154093504018,1.155015459894882
30,0.026591479484724942,0.05623413251903491,0.8,0.07026570375959867,0.9549560124606106
31,0.026591479484724942,0.05623413251903491,0.8375,0.0709651565679334,0.9656244033671413
32,0.026591479484724942,0.05623413251903491,0.875,0.07141795007786507,0.9731756838652763
33,0.026591479484724942,0.05623413251903491,0.9125,0.0705526369443285,0.9546653660740715
34,0.026591479484724942,0.05623413251903491,0.95,0.07100561480618313,0.9651899763865871
35,0.026591479484724942,0.31622776601683794,0.8,0.07041723993107771,0.956961026616497
36,0.026591479484724942,0.31622776601683794,0.8375,0.06943344658925231,0.9448926184570992
37,0.026591479484724942,0.31622776601683794,0.875,0.07025353130316284,0.956756597196169
38,0.026591479484724942,0.31622776601683794,0.9125,0.07123599110327113,0.9713046443953022
39,0.026591479484724942,0.31622776601683794,0.95,0.07063875018397102,0.9599811536877854
40,0.026591479484724942,1.7782794100389228,0.8,0.06967285695271375,0.947525875394245
41,0.026591479484724942,1.7782794100389228,0.8375,0.07004992096834443,0.9529939193648422
42,0.026591479484724942,1.7782794100389228,0.875,0.07036355959832315,0.9573182277189013
43,0.026591479484724942,1.7782794100389228,0.9125,0.06972791318340153,0.9440741354233958
44,0.026591479484724942,1.7782794100389228,0.95,0.07096061761138844,0.9646360795301436
45,0.026591479484724942,10.0,0.8,0.06937960501057176,0.9419780842977467
46,0.026591479484724942,10.0,0.8375,0.06960043026098285,0.9456792394161603
47,0.026591479484724942,10.0,0.875,0.07065089016236176,0.9620084817169171
48,0.026591479484724942,10.0,0.9125,0.07002024052681137,0.9478550248825741
49,0.026591479484724942,10.0,0.95,0.07014708515717118,0.9567491175560371
50,0.07071067811865475,0.01,0.8,0.11337438436447791,1.3873108764026607
51,0.07071067811865475,0.01,0.8375,0.11321719966484363,1.3841306795228285
52,0.07071067811865475,0.01,0.875,0.10877003018567566,1.3500091981068023
53,0.07071067811865475,0.01,0.9125,0.10985669192770939,1.3640618060534935
54,0.07071067811865475,0.01,0.95,0.1082643667283683,1.338224528902737
55,0.07071067811865475,0.05623413251903491,0.8,0.07905708243589164,1.0790655510247775
56,0.07071067811865475,0.05623413251903491,0.8375,0.07892110407692854,1.076447008245052
57,0.07071067811865475,0.05623413251903491,0.875,0.07941437033223905,1.0809060492504718
58,0.07071067811865475,0.05623413251903491,0.9125,0.0799126904959141,1.0850118055533131
59,0.07071067811865475,0.05623413251903491,0.95,0.07942079300683981,1.0799630225810155
60,0.07071067811865475,0.31622776601683794,0.8,0.07824685102045331,1.0734837784302589
61,0.07071067811865475,0.31622776601683794,0.8375,0.07899227496376181,1.0781682747954147
