,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape,rmse
0,0.01,0.01,0.8,0.07931417960952476,0.9867197855898392
1,0.01,0.01,0.875,0.07791570203209913,0.9630078969338229
2,0.01,0.01,0.95,0.07721190284674496,0.9580540708692536
3,0.01,0.021544346900318832,0.8,0.0680364617753099,0.904332401007347
4,0.01,0.021544346900318832,0.875,0.06911258011677378,0.9244950359055873
5,0.01,0.021544346900318832,0.95,0.06957314625465576,0.9340971322730093
6,0.01,0.046415888336127774,0.8,0.06991870174601254,0.9602474447428836
7,0.01,0.046415888336127774,0.875,0.06864695952408763,0.9251362746354176
8,0.01,0.046415888336127774,0.95,0.07064119165734856,0.963951529433941
9,0.01,0.1,0.8,0.07283220990308008,1.0074960876534507
10,0.01,0.1,0.875,0.07255349135932992,1.0145005021479923
11,0.01,0.1,0.95,0.07208323817661438,0.9906571025718998
12,0.01,0.21544346900318834,0.8,0.0688916656897889,0.9396124606074224
13,0.01,0.21544346900318834,0.875,0.07021223515995245,0.9645801752684613
14,0.01,0.21544346900318834,0.95,0.06956541030702781,0.9510985225078101
15,0.01,0.46415888336127775,0.8,0.07013675844429666,0.955403624137938
16,0.01,0.46415888336127775,0.875,0.07047542003289137,0.9672435069607404
17,0.01,0.46415888336127775,0.95,0.07016517620337068,0.9657994457671338
18,0.01,1.0,0.8,0.0704957138970439,0.9641524024820448
19,0.01,1.0,0.875,0.06862585115023075,0.9327117565007347
20,0.01,1.0,0.95,0.07069833254878143,0.9689517054872451
21,0.01,2.154434690031882,0.8,0.07054234204487216,0.9665354558075968
22,0.01,2.154434690031882,0.875,0.07143235296459566,0.9816672832914926
23,0.01,2.154434690031882,0.95,0.06742188797580954,0.9105153279872242
24,0.01,4.6415888336127775,0.8,0.06940418607903828,0.948604077610511
25,0.01,4.6415888336127775,0.875,0.07038583646885657,0.9669034862389589
26,0.01,4.6415888336127775,0.95,0.06806894980168922,0.9128252977438612
27,0.01,10.0,0.8,0.0698344272628176,0.9530535882716376
28,0.01,10.0,0.875,0.07118228191155404,0.9793980727411624
29,0.01,10.0,0.95,0.06867535457618533,0.922101483960878
30,0.01544452104946379,0.01,0.8,0.08096182418480981,1.0181852516567216
31,0.01544452104946379,0.01,0.875,0.08144912454580545,1.0187753905054588
32,0.01544452104946379,0.01,0.95,0.08021409891629436,1.0073447125194215
33,0.01544452104946379,0.021544346900318832,0.8,0.07459366554968082,0.9722968409616881
34,0.01544452104946379,0.021544346900318832,0.875,0.07205403981495562,0.9439110420224077
35,0.01544452104946379,0.021544346900318832,0.95,0.07273626361902849,0.9643256308177955
36,0.01544452104946379,0.046415888336127774,0.8,0.06929310777229171,0.9293825592095365
37,0.01544452104946379,0.046415888336127774,0.875,0.06973566243689387,0.9463540201518795
38,0.01544452104946379,0.046415888336127774,0.95,0.06899221155339172,0.9304730882502177
39,0.01544452104946379,0.1,0.8,0.06771606253846342,0.916578432563059
40,0.01544452104946379,0.1,0.875,0.06950129241076869,0.937637623460925
41,0.01544452104946379,0.1,0.95,0.06788669515269735,0.9245193684469682
42,0.01544452104946379,0.21544346900318834,0.8,0.06916080406852601,0.9404378559991182
43,0.01544452104946379,0.21544346900318834,0.875,0.06992928367933567,0.956656457406093
44,0.01544452104946379,0.21544346900318834,0.95,0.06929255667575672,0.9444163961072671
45,0.01544452104946379,0.46415888336127775,0.8,0.06905575436573254,0.9380733147162011
46,0.01544452104946379,0.46415888336127775,0.875,0.06947755351221598,0.9420004574066227
47,0.01544452104946379,0.46415888336127775,0.95,0.06984715291778816,0.9552328226446583
48,0.01544452104946379,1.0,0.8,0.0682101073850829,0.9228637961119696
49,0.01544452104946379,1.0,0.875,0.0696763635329641,0.9473368076831356
50,0.01544452104946379,1.0,0.95,0.06895626829345634,0.9343453438086973
51,0.01544452104946379,2.154434690031882,0.8,0.06832149934354372,0.9224574706371538
52,0.01544452104946379,2.154434690031882,0.875,0.06746912858881861,0.9063123006166341
53,0.01544452104946379,2.154434690031882,0.95,0.07026658908681528,0.9493021034070158
54,0.01544452104946379,4.6415888336127775,0.8,0.06833569801860244,0.9341930578736695
55,0.01544452104946379,4.6415888336127775,0.875,0.07066269063138167,0.9515677106234919
56,0.01544452104946379,4.6415888336127775,0.95,0.06979882783676909,0.9420922301751753
57,0.01544452104946379,10.0,0.8,0.06946721537946206,0.9445178845576724
58,0.01544452104946379,10.0,0.875,0.06860916523919884,0.9343695378202242
59,0.01544452104946379,10.0,0.95,0.06950501534207165,0.9410019888965171
60,0.023853323044733008,0.01,0.8,0.09545296256089897,1.2657082306184835
61,0.023853323044733008,0.01,0.875,0.09313106234447709,1.2377611216505215
62,0.023853323044733008,0.01,0.95,0.09475766471124329,1.252731445605607
63,0.023853323044733008,0.021544346900318832,0.8,0.0754938823346294,1.0076800398822845
64,0.023853323044733008,0.021544346900318832,0.875,0.07506795819958169,1.0046369359999825
65,0.023853323044733008,0.021544346900318832,0.95,0.07505916866295982,1.002139223772158
66,0.023853323044733008,0.046415888336127774,0.8,0.07201549501101029,0.9732692486350808
67,0.023853323044733008,0.046415888336127774,0.875,0.07428243069772694,0.9918800276857858
68,0.023853323044733008,0.046415888336127774,0.95,0.07409635798039112,0.9865596169585839
69,0.023853323044733008,0.1,0.8,0.07116089734768556,0.9528780444048075
70,0.023853323044733008,0.1,0.875,0.0730806898712535,0.9813215990316168
